Algoritmo,Imagen,Tiempo
CUDA CPU,image_100_0_2.png,1791
CPU,image_100_0_2.png,288
CUDA, image_100_0_2.png,1974
CUDA V2, image_100_0_2.png,1656
CUDA CPU V2, image_100_0_2.png,1627
CUDA CPU,image_100_0_3.png,1813
CPU,image_100_0_3.png,238
CUDA, image_100_0_3.png,1877
CUDA V2, image_100_0_3.png,1769
CUDA CPU V2, image_100_0_3.png,1664
CUDA CPU,image_100_0_4.png,2126
CPU,image_100_0_4.png,302
CUDA, image_100_0_4.png,1970
CUDA V2, image_100_0_4.png,1491
CUDA CPU V2, image_100_0_4.png,1591
CUDA CPU,image_100_0_5.png,1851
CPU,image_100_0_5.png,300
CUDA, image_100_0_5.png,2086
CUDA V2, image_100_0_5.png,1594
CUDA CPU V2, image_100_0_5.png,1662
CUDA CPU,image_100_0_6.png,1918
CPU,image_100_0_6.png,313
CUDA, image_100_0_6.png,1858
CUDA V2, image_100_0_6.png,1682
CUDA CPU V2, image_100_0_6.png,2146
CUDA CPU,image_100_0_7.png,1905
CPU,image_100_0_7.png,280
CUDA, image_100_0_7.png,1615
CUDA V2, image_100_0_7.png,1240
CUDA CPU V2, image_100_0_7.png,1157
CUDA CPU,image_100_0_8.png,1740
CPU,image_100_0_8.png,295
CUDA, image_100_0_8.png,1890
CUDA V2, image_100_0_8.png,1285
CUDA CPU V2, image_100_0_8.png,1183
CUDA CPU,image_100_0_9.png,1727
CPU,image_100_0_9.png,312
CUDA, image_100_0_9.png,1761
CUDA V2, image_100_0_9.png,1217
CUDA CPU V2, image_100_0_9.png,1119
CUDA CPU,image_100_12_0.png,2108
CPU,image_100_12_0.png,586
CUDA, image_100_12_0.png,1982
CUDA V2, image_100_12_0.png,1416
CUDA CPU V2, image_100_12_0.png,1312
CUDA CPU,image_100_12_1.png,1995
CPU,image_100_12_1.png,535
CUDA, image_100_12_1.png,2002
CUDA V2, image_100_12_1.png,1306
CUDA CPU V2, image_100_12_1.png,1308
CUDA CPU,image_100_12_2.png,1881
CPU,image_100_12_2.png,605
CUDA, image_100_12_2.png,2407
CUDA V2, image_100_12_2.png,1429
CUDA CPU V2, image_100_12_2.png,1281
CUDA CPU,image_100_12_3.png,2070
CPU,image_100_12_3.png,540
CUDA, image_100_12_3.png,1882
CUDA V2, image_100_12_3.png,1430
CUDA CPU V2, image_100_12_3.png,1200
CUDA CPU,image_100_12_4.png,2115
CPU,image_100_12_4.png,583
CUDA, image_100_12_4.png,2021
CUDA V2, image_100_12_4.png,1437
CUDA CPU V2, image_100_12_4.png,1187
CUDA CPU,image_100_12_5.png,2017
CPU,image_100_12_5.png,550
CUDA, image_100_12_5.png,2282
CUDA V2, image_100_12_5.png,1384
CUDA CPU V2, image_100_12_5.png,1158
CUDA CPU,image_100_12_6.png,1826
CPU,image_100_12_6.png,566
CUDA, image_100_12_6.png,2019
CUDA V2, image_100_12_6.png,1371
CUDA CPU V2, image_100_12_6.png,1267
CUDA CPU,image_100_12_7.png,2119
CPU,image_100_12_7.png,540
CUDA, image_100_12_7.png,2823
CUDA V2, image_100_12_7.png,1479
CUDA CPU V2, image_100_12_7.png,1255
CUDA CPU,image_100_12_8.png,2026
CPU,image_100_12_8.png,597
CUDA, image_100_12_8.png,2095
CUDA V2, image_100_12_8.png,1461
CUDA CPU V2, image_100_12_8.png,1166
CUDA CPU,image_100_12_9.png,2326
CPU,image_100_12_9.png,601
CUDA, image_100_12_9.png,2208
CUDA V2, image_100_12_9.png,1608
CUDA CPU V2, image_100_12_9.png,1911
CUDA CPU,image_100_15_0.png,2162
CPU,image_100_15_0.png,597
CUDA, image_100_15_0.png,2123
CUDA V2, image_100_15_0.png,1331
CUDA CPU V2, image_100_15_0.png,1528
CUDA CPU,image_100_15_1.png,2032
CPU,image_100_15_1.png,619
CUDA, image_100_15_1.png,2200
CUDA V2, image_100_15_1.png,1609
CUDA CPU V2, image_100_15_1.png,1355
CUDA CPU,image_100_15_2.png,2151
CPU,image_100_15_2.png,556
CUDA, image_100_15_2.png,1910
CUDA V2, image_100_15_2.png,1473
CUDA CPU V2, image_100_15_2.png,1443
CUDA CPU,image_100_15_3.png,2331
CPU,image_100_15_3.png,687
CUDA, image_100_15_3.png,2172
CUDA V2, image_100_15_3.png,1455
CUDA CPU V2, image_100_15_3.png,1215
CUDA CPU,image_100_15_4.png,2093
CPU,image_100_15_4.png,629
CUDA, image_100_15_4.png,2256
CUDA V2, image_100_15_4.png,1319
CUDA CPU V2, image_100_15_4.png,1194
CUDA CPU,image_100_15_5.png,2130
CPU,image_100_15_5.png,566
CUDA, image_100_15_5.png,2223
CUDA V2, image_100_15_5.png,1435
CUDA CPU V2, image_100_15_5.png,1176
CUDA CPU,image_100_15_6.png,1853
CPU,image_100_15_6.png,632
CUDA, image_100_15_6.png,2095
CUDA V2, image_100_15_6.png,1334
CUDA CPU V2, image_100_15_6.png,1289
CUDA CPU,image_100_15_7.png,2125
CPU,image_100_15_7.png,606
CUDA, image_100_15_7.png,2161
CUDA V2, image_100_15_7.png,1402
CUDA CPU V2, image_100_15_7.png,1263
CUDA CPU,image_100_15_8.png,2097
CPU,image_100_15_8.png,631
CUDA, image_100_15_8.png,2942
CUDA V2, image_100_15_8.png,1447
